Parameter Name,Value
General Information,
Sample name:,2763
Start of measurement:,03*09*2014 14:41:19
Stop of measurement:,17*09*2014 13:41:19
Duration of Measurements:,13 Days
Geometric Parameters,
Soil surface area [cm2]:,249
Soil column height [cm]:,5
Position lower tensiometer [cm]:,3.75
Position upper tensiometer [cm]:,1.25
HYPROP Parameters,
Measurement head net weight [g]:,358
Empty soil sampling ring weight [g]:,193
Air entry pressure upper tensiometer [bar]:,8.8
Air entry pressure lower tensiometer [bar]:,8.8
Density of solid substance [g/cm3]:,2.65
Statistical analysis,
Tensiometer [hPa]:,0.6
Scale [g]:,0.06
Sensor Unit Information,
Busnumber:,2
Subaddress:,1
Serial number:,767
Sensor unit name:,MY-HYPROP-MK
Firmware Version:,NaN
Scale Information,
Serial number:,
Scale name:,
Correction,
Volume correction [ml]:,0
Weight correction [g]:,0
Start/Stop Line,
Start,03*09*2014 14:41:19
Tension top Air Entry Point,15*09*2014 03:41:19
Tension bottom Air Entry Point,16*09*2014 00:11:19
Calculation of water contents,
Calculation of water contents,From dry soil weight [g]:
Initial water content [Vol%]:,0.364698785375879
Dry soil weight [g]:,378.2
Additional Soil Paramters,
Density [g/cm3]:,1.52
Porosity [-]:,0.43
Fitting Parameters,
INTERPOL,2
Tensiometer_Mean,2
Polynomial_degree,5
wtheta,1
wk,0.001
Fitting,
Model Description,PDI-variant of the bimodal constrained van Genuchten model 
Notes,
texture,
plot,
depth,
Date / Time,Tension bottom [hPa],Tension top [hPa],Temperature [°C]
03*09*2014 14:41:19,-3.38,-0.53,21.55
03*09*2014 14:42:19,-3.35,-0.54,21.57
03*09*2014 14:43:19,-3.32,-0.47,21.59
03*09*2014 14:44:19,-3.33,-0.44,21.61
03*09*2014 14:45:19,-3.35,-0.5,21.64
03*09*2014 14:46:19,-3.08,-0.34,21.66
03*09*2014 14:47:19,-3.26,-0.5,21.68
03*09*2014 14:48:19,-3.22,-0.47,21.7
03*09*2014 14:49:19,-3.16,-0.44,21.73
03*09*2014 14:50:19,-3.08,-0.47,21.75
03*09*2014 14:51:19,-3.25,-0.53,21.78
03*09*2014 14:52:19,-2.85,-0.33,21.8
03*09*2014 14:53:19,-3.05,-0.38,21.82
03*09*2014 14:54:19,-3.05,-0.34,21.84
03*09*2014 14:55:19,-2.78,-0.26,21.86
03*09*2014 14:56:19,-2.99,-0.33,21.88
03*09*2014 14:57:19,-2.97,-0.26,21.9
03*09*2014 14:58:19,-2.92,-0.26,21.92
03*09*2014 14:59:19,-2.87,-0.23,21.93
03*09*2014 15:00:19,-2.94,-0.2,21.95
03*09*2014 15:01:19,-2.75,-0.19,21.97
03*09*2014 15:02:19,-2.81,-0.18,21.98
03*09*2014 15:03:19,-2.78,-0.15,21.99
03*09*2014 15:04:19,-2.52,-0.05,22.01
03*09*2014 15:05:19,-2.56,-0.13,22.03
03*09*2014 15:06:19,-2.7,-0.09,22.04
03*09*2014 15:07:19,-2.69,-0.07,22.05
03*09*2014 15:08:19,-2.62,-0.06,22.07
03*09*2014 15:09:19,-2.66,-0.05,22.08
03*09*2014 15:10:19,-2.63,0.03,22.1
03*09*2014 15:11:19,-2.38,0.08,22.11
03*09*2014 15:12:19,-2.7,-0.01,22.12
03*09*2014 15:13:19,-2.63,0,22.14
03*09*2014 15:14:19,-2.56,0.08,22.15
03*09*2014 15:15:19,-2.53,0.07,22.16
03*09*2014 15:16:19,-2.5,0.08,22.17
03*09*2014 15:17:19,-2.87,0.08,22.19
03*09*2014 15:18:19,-2.49,0.1,22.2
03*09*2014 15:19:19,-2.47,0.12,22.21
03*09*2014 15:20:19,-2.2,0.24,22.22
03*09*2014 15:21:19,-2.45,0.16,22.23
03*09*2014 15:22:19,-2.41,0.17,22.24
03*09*2014 15:23:19,-2.35,0.2,22.25
03*09*2014 15:24:19,-2.35,0.23,22.26
