Parameter Name,Value
General Information,
Sample name:,2762
Start of measurement:,03*09*2014 14:41:19
Stop of measurement:,17*09*2014 13:41:19
Duration of Measurements:,13 Days
Geometric Parameters,
Soil surface area [cm2]:,249
Soil column height [cm]:,5
Position lower tensiometer [cm]:,3.75
Position upper tensiometer [cm]:,1.25
HYPROP Parameters,
Measurement head net weight [g]:,358
Empty soil sampling ring weight [g]:,193
Air entry pressure upper tensiometer [bar]:,8.8
Air entry pressure lower tensiometer [bar]:,8.8
Density of solid substance [g/cm3]:,2.65
Statistical analysis,
Tensiometer [hPa]:,0.6
Scale [g]:,0.06
Sensor Unit Information,
Busnumber:,1
Subaddress:,1
Serial number:,764
Sensor unit name:,MY-HYPROP-MK
Firmware Version:,NaN
Scale Information,
Serial number:,
Scale name:,
Correction,
Volume correction [ml]:,0
Weight correction [g]:,0
Start/Stop Line,
Start,03*09*2014 14:41:19
Tension top Air Entry Point,15*09*2014 02:11:19
Tension bottom Air Entry Point,15*09*2014 23:11:19
Calculation of water contents,
Calculation of water contents,From dry soil weight [g]:
Initial water content [Vol%]:,0.374176638193399
Dry soil weight [g]:,399.85
Additional Soil Paramters,
Density [g/cm3]:,1.61
Porosity [-]:,0.39
Fitting Parameters,
INTERPOL,2
Tensiometer_Mean,2
Polynomial_degree,5
wtheta,1
wk,0.001
Fitting,
Model Description,PDI-variant of the bimodal constrained van Genuchten model 
Notes,
texture,
plot,
depth,
Date / Time,Tension bottom [hPa],Tension top [hPa],Temperature [°C]
03*09*2014 14:41:19,-4.13,-1.15,20.96
03*09*2014 14:42:19,-4.13,-1.35,20.98
03*09*2014 14:43:19,-4.05,-1.18,21
03*09*2014 14:44:19,-3.95,-1.14,21.02
03*09*2014 14:45:19,-3.96,-1.16,21.07
03*09*2014 14:46:19,-3.93,-1.15,21.08
03*09*2014 14:47:19,-3.92,-1.14,21.1
03*09*2014 14:48:19,-3.85,-1.13,21.12
03*09*2014 14:49:19,-3.81,-1.11,21.15
03*09*2014 14:50:19,-3.89,-1.11,21.17
03*09*2014 14:51:19,-3.79,-1.05,21.18
03*09*2014 14:52:19,-3.73,-1.09,21.2
03*09*2014 14:53:19,-3.71,-1.01,21.22
03*09*2014 14:54:19,-3.66,-0.99,21.24
03*09*2014 14:55:19,-3.63,-1.02,21.25
03*09*2014 14:56:19,-3.61,-0.94,21.27
03*09*2014 14:57:19,-3.55,-0.9,21.29
03*09*2014 14:58:19,-3.54,-0.86,21.3
03*09*2014 14:59:19,-3.5,-0.83,21.32
03*09*2014 15:00:19,-3.46,-0.8,21.34
03*09*2014 15:01:19,-3.44,-0.77,21.35
03*09*2014 15:02:19,-3.41,-0.76,21.37
03*09*2014 15:03:19,-3.37,-0.74,21.38
03*09*2014 15:04:19,-3.33,-0.74,21.4
03*09*2014 15:05:19,-3.34,-0.64,21.41
03*09*2014 15:06:19,-3.29,-0.66,21.43
03*09*2014 15:07:19,-3.26,-0.64,21.44
03*09*2014 15:08:19,-3.23,-0.61,21.45
